epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,336.839,0.68305,0.50597,0.88446,0.97206,0.95849,0.98586,0.85495,0.55995,0.65916,0.79288,0.00333203,0.00333203,0.00333203
2,633.495,0.78244,0.56981,0.90529,0.96406,0.94829,0.9819,0.82264,0.62464,0.9328,0.81049,0.00663237,0.00663237,0.00663237
3,925.571,0.9528,0.6963,0.94959,0.92758,0.92474,0.96429,0.77207,0.74487,1.20863,0.84601,0.00989971,0.00989971,0.00989971
4,1211.96,1.11376,0.83252,0.99595,0.92,0.92247,0.95651,0.73258,0.84768,1.43049,0.8724,0.0098515,0.0098515,0.0098515
5,1497.3,1.11484,0.83098,0.9968,0.93894,0.92903,0.96735,0.74192,0.82888,1.32724,0.8678,0.009802,0.009802,0.009802
6,1786.43,1.09565,0.81574,0.99181,0.93523,0.93013,0.96802,0.73725,0.84344,1.48189,0.87313,0.0097525,0.0097525,0.0097525
7,2062.84,1.08311,0.8068,0.98716,0.93788,0.9369,0.97341,0.76864,0.76219,1.50971,0.85024,0.009703,0.009703,0.009703
8,2350.16,1.07174,0.79558,0.98361,0.9474,0.93448,0.96973,0.77271,0.75248,1.21114,0.84728,0.0096535,0.0096535,0.0096535
9,2642.21,1.05767,0.78321,0.98042,0.94345,0.94672,0.97487,0.77729,0.74464,1.138,0.84301,0.009604,0.009604,0.009604
10,2923.8,1.04929,0.77716,0.97857,0.947,0.94805,0.97621,0.80572,0.67578,1.18682,0.82845,0.0095545,0.0095545,0.0095545
11,3204.94,1.03839,0.76699,0.97324,0.95261,0.94315,0.97603,0.80876,0.66403,1.10257,0.82551,0.009505,0.009505,0.009505
12,3484.01,1.03216,0.75878,0.97297,0.94996,0.94232,0.97591,0.80723,0.66967,1.05314,0.8258,0.0094555,0.0094555,0.0094555
13,3775.79,1.0209,0.75261,0.96954,0.95093,0.94424,0.97337,0.80528,0.66951,1.32361,0.82503,0.009406,0.009406,0.009406
14,4057.64,1.02063,0.75178,0.96966,0.94612,0.95108,0.97467,0.81238,0.65077,1.17685,0.82123,0.0093565,0.0093565,0.0093565
15,4345.5,1.01205,0.74427,0.96684,0.95821,0.94704,0.9787,0.81834,0.64096,1.20629,0.81831,0.009307,0.009307,0.009307
16,4620.81,1.0064,0.74071,0.96567,0.95332,0.95241,0.97659,0.82033,0.63098,1.33261,0.81665,0.0092575,0.0092575,0.0092575
17,4899.35,0.99655,0.73459,0.96219,0.95521,0.95056,0.97866,0.82623,0.62205,1.24387,0.81453,0.009208,0.009208,0.009208
18,5189.74,0.99111,0.73024,0.96175,0.95604,0.95352,0.97952,0.82802,0.6191,1.16194,0.81377,0.0091585,0.0091585,0.0091585
19,5480.09,0.98717,0.72573,0.9602,0.95259,0.95586,0.97915,0.82884,0.61379,1.17759,0.81261,0.009109,0.009109,0.009109
20,5761.69,0.98542,0.72586,0.95926,0.95562,0.95017,0.97982,0.82935,0.60875,1.22264,0.81136,0.0090595,0.0090595,0.0090595
21,6041.1,0.98006,0.72104,0.9597,0.95514,0.95247,0.98027,0.83251,0.6069,1.24003,0.81035,0.00901,0.00901,0.00901
22,6326.29,0.97494,0.7171,0.95747,0.95673,0.95102,0.98014,0.83286,0.60433,1.25282,0.80968,0.0089605,0.0089605,0.0089605
23,6614.42,0.97583,0.71812,0.95679,0.95701,0.95226,0.97996,0.83436,0.60131,1.25461,0.80858,0.008911,0.008911,0.008911
24,6903.23,0.97299,0.71463,0.95653,0.9555,0.95471,0.9801,0.83625,0.59655,1.26861,0.80776,0.0088615,0.0088615,0.0088615
